Title,Year,IMDB,Dynamic IMDB,IMDB Difference,Metacritic,Dynamic Metacritic,Metacritic Difference,Original Rating,Dynamic Rating,Rating Difference
Miller's Crossing,1990,77,15.22,-61.78,66,52.78,-13.22,71.5,34.0,-37.5
Zombieland,2009,76,9.5,-66.5,73,58.41,-14.59,74.5,33.95,-40.55
Guess Who's Coming to Dinner,1967,78,20.0,-58.0,63,47.64,-15.36,70.5,33.82,-36.68
Match Point,2005,76,9.95,-66.05,72,57.68,-14.32,74.0,33.81,-40.19
Serbuan maut,2011,76,9.34,-66.66,73,58.2,-14.8,74.5,33.77,-40.73
The Fault in Our Stars,2014,77,14.51,-62.49,69,52.82,-16.18,73.0,33.66,-39.34
Rogue One,2016,78,19.61,-58.39,65,47.69,-17.31,71.5,33.65,-37.85
Gone Baby Gone,2007,76,9.72,-66.28,72,57.47,-14.53,74.0,33.59,-40.41
Chugyeokja,2008,78,20.22,-57.78,64,46.93,-17.07,71.0,33.58,-37.42
Dark Waters,2019,76,8.95,-67.05,73,58.17,-14.83,74.5,33.56,-40.94
Philadelphia,1993,77,14.84,-62.16,66,52.22,-13.78,71.5,33.53,-37.97
Ferris Bueller's Day Off,1986,78,20.56,-57.44,61,46.17,-14.83,69.5,33.37,-36.13
Despicable Me,2010,76,9.47,-66.53,72,57.07,-14.93,74.0,33.27,-40.73
50/50,2011,76,9.42,-66.58,72,56.89,-15.11,74.0,33.16,-40.84
The Bridges of Madison County,1995,76,10.11,-65.89,69,56.02,-12.98,72.5,33.06,-39.44
21 Grams,2003,76,10.21,-65.79,70,55.9,-14.1,73.0,33.05,-39.95
Funny Games,1997,76,10.12,-65.88,69,55.94,-13.06,72.5,33.03,-39.47
Crash,2004,77,15.56,-61.44,66,50.35,-15.65,71.5,32.95,-38.55
On Golden Pond,1981,76,9.88,-66.12,68,55.97,-12.03,72.0,32.92,-39.08
Kal Ho Naa Ho,2003,80,31.37,-48.63,54,34.47,-19.53,67.0,32.92,-34.08
Only the Brave,2017,76,8.94,-67.06,72,56.86,-15.14,74.0,32.9,-41.1
Lethal Weapon,1987,76,10.04,-65.96,68,55.72,-12.28,72.0,32.88,-39.12
The Game,1997,78,20.83,-57.17,61,44.88,-16.12,69.5,32.86,-36.64
Mr. Nobody,2009,78,20.21,-57.79,63,45.39,-17.61,70.5,32.8,-37.7
My Cousin Vinny,1992,76,9.63,-66.37,68,55.32,-12.68,72.0,32.48,-39.52
Fried Green Tomatoes,1991,77,15.0,-62.0,64,49.9,-14.1,70.5,32.45,-38.05
Huo Yuan Jia,2006,76,9.84,-66.16,70,54.86,-15.14,73.0,32.35,-40.65
The Muppet Christmas Carol,1992,77,14.91,-62.09,64,49.76,-14.24,70.5,32.34,-38.16
The Count of Monte Cristo,2002,78,20.72,-57.28,61,43.9,-17.1,69.5,32.31,-37.19
Ondskan,2003,78,20.8,-57.2,61,43.76,-17.24,69.5,32.28,-37.22
Searching,2018,76,8.89,-67.11,71,55.55,-15.45,73.5,32.22,-41.28
Mr. Smith Goes to Washington,1939,81,26.12,-54.88,73,38.06,-34.94,77.0,32.09,-44.91
The Thin Man,1934,80,20.9,-59.1,86,43.09,-42.91,83.0,32.0,-51.0
Pink Floyd: The Wall,1982,81,36.42,-44.58,47,27.25,-19.75,64.0,31.84,-32.16
La piel que habito,2011,76,9.41,-66.59,70,54.27,-15.73,73.0,31.84,-41.16
25th Hour,2002,76,10.25,-65.75,68,53.31,-14.69,72.0,31.78,-40.22
Jojo Rabbit,2019,79,24.85,-54.15,58,38.55,-19.45,68.5,31.7,-36.8
Loving Vincent,2017,78,19.55,-58.45,62,43.79,-18.21,70.0,31.67,-38.33
Deadpool 2,2018,77,14.23,-62.77,66,48.98,-17.02,71.5,31.6,-39.9
The Peanut Butter Falcon,2019,76,8.97,-67.03,70,54.23,-15.77,73.0,31.6,-41.4
Bringing Up Baby,1938,78,11.02,-66.98,91,52.16,-38.84,84.5,31.59,-52.91
Les choristes,2004,79,26.15,-52.85,56,37.02,-18.98,67.5,31.59,-35.91
Bride of Frankenstein,1935,78,10.82,-67.18,95,52.2,-42.8,86.5,31.51,-54.99
Empire of the Sun,1987,77,15.34,-61.66,62,47.61,-14.39,69.5,31.48,-38.02
Harry Potter and the Deathly Hallows: Part 1,2010,77,14.69,-62.31,65,47.8,-17.2,71.0,31.24,-39.76
Where Eagles Dare,1968,77,14.7,-62.3,63,47.77,-15.23,70.0,31.23,-38.77
Delicatessen,1991,76,9.75,-66.25,66,52.67,-13.33,71.0,31.21,-39.79
X: First Class,2011,77,14.66,-62.34,65,47.66,-17.34,71.0,31.16,-39.84
A Few Good Men,1992,77,15.07,-61.93,62,47.16,-14.84,69.5,31.11,-38.39
Sabrina,1954,77,11.17,-65.83,72,50.88,-21.12,74.5,31.03,-43.47
The Illusionist,2006,76,9.8,-66.2,68,52.21,-15.79,72.0,31.01,-40.99
Finding Neverland,2004,76,10.25,-65.75,67,51.62,-15.38,71.5,30.93,-40.57
First Blood,1982,77,15.26,-61.74,61,46.55,-14.45,69.0,30.9,-38.1
Dark City,1998,76,10.29,-65.71,66,51.5,-14.5,71.0,30.89,-40.11
The Warriors,1979,76,9.66,-66.34,65,51.89,-13.11,70.5,30.77,-39.73
Gongdong gyeongbi guyeok JSA,2000,78,20.96,-57.04,58,40.4,-17.6,68.0,30.68,-37.32
Vampire Hunter D: Bloodlust,2000,77,15.73,-61.27,62,45.55,-16.45,69.5,30.64,-38.86
Back to the Future Part II,1989,78,20.6,-57.4,57,40.49,-16.51,67.5,30.55,-36.95
End of Watch,2012,76,9.37,-66.63,68,51.61,-16.39,72.0,30.49,-41.51
Changeling,2008,77,14.94,-62.06,63,45.64,-17.36,70.0,30.29,-39.71
Just Mercy,2019,76,9.01,-66.99,68,51.58,-16.42,72.0,30.29,-41.71
"Synecdoche, New York",2008,76,9.57,-66.43,67,50.77,-16.23,71.5,30.17,-41.33
Watership Down,1978,76,9.72,-66.28,64,50.51,-13.49,70.0,30.11,-39.89
